"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","n","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err"
"40CS019",2014,"OK","Le Flore",573,50211,623,50301,1,50.211,50.301,11.4118420266475,12.3854396532872,10,16,16,609.82934771181,12.145333646249,550.975,675,10.9731931250124,13.4432694031188,31.5048401829775,0.627448969010327
"40CS019",2015,"OK","Le Flore",619,50018,573,50211.0000000002,1,50.018,50.2110000000002,12.3755448038706,11.4118420266475,10,17,17,626.556310619363,12.5266166304003,559.975,690.025,11.1954696309329,13.7955336079012,32.0634943146824,0.64103911221325
"40CS019",2016,"OK","Le Flore",590,50144,619,50018,1,50.144,50.018,11.7661135928526,12.3755448038706,10,18,18,629.501456531417,12.5538739735844,570.975,689.025,11.3867062858966,13.7409261327377,30.4901749218788,0.608052307791138
"40CS019",2017,"OK","Le Flore",692,50020,590,50143.9999999999,1,50.02,50.1439999999999,13.8344662135146,11.7661135928526,10,19,19,644.168935831323,12.8782274256562,585.95,704,11.7143142742903,14.0743702518992,30.8548849280616,0.616850958177961
"40CS019",2018,"OK","Le Flore",645,50093,692,50020,1,50.093,50.02,12.8760505459845,13.8344662135146,10,20,20,636.005399399455,12.6964925119169,575.95,698.025,11.4976144371469,13.9345816780788,31.5479149062967,0.629786894502159
"40CS019",2019,"OK","Le Flore",649,49853,645,50092.9999999999,1,49.853,50.0929999999999,13.0182737247508,12.8760505459845,10,21,21,652.68193280035,13.0921295167863,591,716,11.8548532686097,14.3622249413275,31.5673079931427,0.633207790767712
"40CS019",2020,"OK","Le Flore",743,50184,649,49852.9999999999,1,50.184,49.8529999999999,14.8055157022158,13.0182737247508,10,22,22,666.517614673822,13.2814764601033,601.975,731,11.9953570859238,14.5663956639566,32.6372665241157,0.650352034993539
"40CS020",2011,"OK","Lincoln+Logan",723,76829,690,76412.0000000001,2,76.829,76.4120000000001,9.4105090525713,9.0299952886981,10,13,13,699.147873183504,9.10005171463255,634.975,762.025,8.26478282940036,9.91845527079618,32.0040287754192,0.416561829197558
"40CS020",2012,"OK","Lincoln+Logan",676,77198,723,76829.0000000001,2,77.198,76.8290000000001,8.75670354154253,9.41050905257129,10,14,14,704.472407225218,9.12552666163914,646,770,8.36809243762792,9.97435166714164,33.3983892336652,0.432632830302148
"40CS020",2013,"OK","Lincoln+Logan",719,78064,676,77198.0000000001,2,78.064,77.1980000000001,9.21039147366264,8.75670354154251,10,15,15,725.414187843726,9.29255723308729,661.975,794,8.47990110678418,10.1711416273827,32.4861752532148,0.416147971577357
"40CS020",2014,"OK","Lincoln+Logan",723,79207,719,78063.9999999999,2,79.207,78.0639999999999,9.12798111278044,9.21039147366265,10,16,16,737.295339795408,9.30846187578634,673,802,8.49672377441388,10.1253677073996,32.6212647043445,0.411848254628309
"40CS020",2015,"OK","Lincoln+Logan",776,80274,723,79207.0000000002,2,80.274,79.2070000000002,9.66689089867205,9.12798111278042,10,17,17,754.482425309204,9.39883929179066,690,827,8.59556020629345,10.3022149139198,34.5341727581259,0.430203711763783
"40CS020",2016,"OK","Lincoln+Logan",782,80899,776,80274,2,80.899,80.274,9.66637412081731,9.66689089867204,10,18,18,760.695848014518,9.40303153332572,701,829.025,8.66512565050248,10.2476544827501,33.2091852653146,0.410501801818497
"40CS020",2017,"OK","Lincoln+Logan",747,81746,782,80899.0000000001,2,81.746,80.8990000000001,9.13806180118905,9.66637412081731,10,19,19,775.181024268022,9.48280067854112,705.975,845,8.63620238299122,10.3368972182125,34.8690764358836,0.426553916226893
"40CS020",2018,"OK","Lincoln+Logan",816,82085,747,81745.9999999999,2,82.085,81.7459999999999,9.94091490528111,9.13806180118906,10,20,20,791.169044099919,9.63841194006115,724.975,854,8.83200341109825,10.403849668027,33.0352255195136,0.402451428635118
"40CS020",2019,"OK","Lincoln+Logan",782,82888,816,82084.9999999999,2,82.888,82.0849999999999,9.43441752726571,9.94091490528113,10,21,21,796.141850260552,9.60503149141675,727,863.025,8.77087153749638,10.4119414149213,34.4125300177453,0.415169023474391
